Date,Open,High,Low,Close,Volume
2024-05-22,70144.69,70599.97,69048.6,69224.99,116100040102
2024-05-21,71369.73,71739.14,69266.38,70104.4,140367348767
2024-05-20,66222.45,71456.55,66139.62,71418.17,97690643208
2024-05-19,66972.63,67598.31,66005.33,66347.05,84416848119
2024-05-18,66939.82,67376.41,66640.01,66914.58,93775704474
2024-05-17,65298.85,67399.94,65156.23,67004.04,102654831474
2024-05-16,66392.06,66598.22,64665.08,65249.97,115706690819
2024-05-15,61623.04,66390,61404.32,66247.62,100350924308
2024-05-14,62894.83,63053.02,61157.62,61602.22,96842998394
2024-05-13,61536.73,63332.96,60786.91,62917.18,90734781782
2024-05-12,60869.99,61763.99,60689.41,61549.96,76144346129
2024-05-11,60855.33,61391.96,60560.03,60784.24,93352867291
2024-05-10,62920.05,63463.95,60318.78,60887.95,99762590014
2024-05-09,61250.01,63349.87,60746.02,63110.01,96341217242
2024-05-08,62376.4,62947.97,60957.21,61220.05,96197759748
2024-05-07,63229.18,64322.23,62292.05,62380.43,102306726087
2024-05-06,64088.04,65424.77,62970.14,63197.19,95271216372
2024-05-05,63986.77,64479.4,63010.78,64040.05,89492687291
2024-05-04,62846.01,64469.81,62642.67,63880.04,105789371881
2024-05-03,59065.6,63176.02,58837.01,62799.97,104770327111
2024-05-02,58601.49,59545.21,57003.3,59134.5,131337771060
2024-05-01,60697.08,60762.08,56721.02,58266.04,158987531623
2024-04-30,63760.26,64654.02,59265.11,60761.95,143257461670
2024-04-29,63144.46,64070.04,61835.95,63817.97,128891628761
2024-04-28,63519.98,64300.03,62875.28,63059.25,123944431129
2024-04-27,63785.31,63891.08,62593.31,63483.13,131487879046
2024-04-26,64504.62,64732.29,63397.37,63806.23,144565512002
2024-04-25,64324.8,65083.98,62956.04,64495.27,149197868904
2024-04-24,66553.54,67070.4,63742.73,64291.07,138473620398
2024-04-23,66761.02,67174.02,65884.15,66386.61,140862129941
2024-04-22,64952.02,67180.03,64598,66818.89,140072513379
2024-04-21,64875.75,65638.74,64302.47,64896.87,132657361140
2024-04-20,63824.06,65351.33,63321.19,64857.99,153741041091
2024-04-19,63286,65384.6,59734.42,63965.95,179626575261
2024-04-18,61386.44,64049.91,60896,63418,162208332352
2024-04-17,63719.72,64409.61,60035.04,61309.97,159286109759
2024-04-16,63464.02,64279.61,61721.75,63679.78,164819105083
2024-04-15,65437.82,66716.61,62664.83,63496.91,167200393537
2024-04-14,64212.09,65737.76,62168.38,65582.95,193358712996
2024-04-13,67033.18,67890.08,61480,64255.94,170782112550
2024-04-12,70120.03,71173.45,66012.76,67208.21,156471030176
2024-04-11,70436.71,71247.81,69587.99,70112.05,163489095574
2024-04-10,69125.17,71078.17,67590.15,70513.6,158897314059
2024-04-09,71618.12,71714.42,68442.77,69198.22,132405536997
2024-04-08,69263.8,72724.2,69169.74,71631.77,53155607159
2024-04-07,68875.43,70242.04,68850.36,69388.74,38663785982
2024-04-06,67729.96,69566.35,67492.52,68904.86,48035020047
2024-04-05,68333.72,68613.19,66099.34,67928.77,65431097629
2024-04-04,65988.91,69060,65139.94,68461.23,54093502745
